date,cash,stock_market_value,stock_position,future_margin,future_position,net_value,PnL,
20160922,10056357.067688,1122171.440000,251667,0.000000,0,11178528.507688,4728.261704,
20160923,10056357.067688,1126685.070000,251667,0.000000,0,11183042.137688,4513.630000,
20160926,10056357.067688,1109068.380000,251667,0.000000,0,11165425.447688,-17616.690000,
20160927,10056357.067688,1110178.990000,251667,0.000000,0,11166536.057688,1110.610000,
20160928,8937919.787810,2222607.730000,535365,0.000000,0,11160527.517810,-6008.539878,
20160929,8937919.787810,2226503.940000,535365,0.000000,0,11164423.727810,3896.210000,
20160930,8378521.600266,2790761.270000,664027,0.000000,0,11169282.870266,4859.142456,
20161010,8378521.600266,2812771.620000,664027,0.000000,0,11191293.220266,22010.350000,
20161011,8378521.600266,2823823.170000,664027,0.000000,0,11202344.770266,11051.550000,
20161012,8946950.882526,2262889.970000,523421,0.000000,0,11209840.852526,7496.082260,
20161013,8946950.882526,2272815.880000,523421,0.000000,0,11219766.762526,9925.910000,
20161014,8806581.271206,2402328.300000,537956,0.000000,0,11208909.571206,-10857.191320,
20161017,9359600.305652,1834265.130000,419466,0.000000,0,11193865.435652,-15044.135554,
20161018,9078590.697192,2145173.370000,446934,0.000000,0,11223764.067192,29898.631540,
20161019,8517008.906224,2697513.720000,509246,0.000000,0,11214522.626224,-9241.440968,
20161020,7955170.674492,3266065.130000,548750,0.000000,0,11221235.804492,6713.178268,
20161021,7249908.720794,3963983.890000,595627,0.000000,0,11213892.610794,-7343.193698,
20161024,8140060.308644,3120285.020000,461474,0.000000,0,11260345.328644,46452.717850,
20161025,8140060.308644,3130762.280000,461474,0.000000,0,11270822.588644,10477.260000,
20161026,9004450.600444,2238675.680000,318867,0.000000,0,11243126.280444,-27696.308200,
20161027,9004450.600444,2232970.830000,318867,0.000000,0,11237421.430444,-5704.850000,
20161028,7876797.391700,3371348.520000,617232,0.000000,0,11248145.911700,10724.481256,
20161031,8733014.611558,2490505.890000,431050,0.000000,0,11223520.501558,-24625.410142,
20161101,8733014.611558,2500018.680000,431050,0.000000,0,11233033.291558,9512.790000,
20161102,7050399.736660,4141669.750000,808535,0.000000,0,11192069.486660,-40963.804898,
20161103,7179413.173716,4031346.300000,801429,0.000000,0,11210759.473716,18689.987056,
20161104,6748637.043130,4449843.790000,1000338,0.000000,0,11198480.833130,-12278.640586,
20161107,7030861.203586,4219031.870000,965996,0.000000,0,11249893.073586,51412.240456,
20161108,7444110.683180,3840531.210000,923571,0.000000,0,11284641.893180,34748.819594,
20161109,7568259.300482,3702957.560000,931458,0.000000,0,11271216.860482,-13425.032698,
20161110,7568259.300482,3795865.300000,931458,0.000000,0,11364124.600482,92907.740000,
20161111,7568259.300482,3914265.110000,931458,0.000000,0,11482524.410482,118399.810000,
20161114,8238213.288738,3259568.890000,728690,0.000000,0,11497782.178738,15257.768256,
20161115,8238213.288738,3249118.950000,728690,0.000000,0,11487332.238738,-10449.940000,
20161116,9406735.306268,2084807.820000,430325,0.000000,0,11491543.126268,4210.887530,
20161117,9406735.306268,2094533.790000,430325,0.000000,0,11501269.096268,9725.970000,
20161118,9406735.306268,2083410.240000,430325,0.000000,0,11490145.546268,-11123.550000,
20161121,11206089.099022,295904.000000,52840,0.000000,0,11501993.099022,11847.552754,
20161122,11206089.099022,295375.600000,52840,0.000000,0,11501464.699022,-528.400000,
